0x000020 space
0x0000bc onequarter
0x0000bd onehalf
0x0000be threequarters
0x0000bf questiondown
0x0000c0 Agrave
0x0000c1 Aacute
0x0000c2 Acircumflex
0x0000c3 Atilde
0x0000c4 Adiaeresis
0x0000c5 Aring
0x0000c6 AE
0x0000c7 Ccedilla
0x0000c8 Egrave
0x0000c9 Eacute
0x0000ca Ecircumflex
0x0000cb Ediaeresis
0x0000cc Igrave
0x0000cd Iacute
0x0000ce Icircumflex
0x0000cf Idiaeresis
0x0000d0 Eth
0x0000d0 ETH
0x0000d1 Ntilde
0x0000d2 Ograve
0x0000d3 Oacute
0x0000d4 Ocircumflex
0x0000d5 Otilde
0x0000d6 Odiaeresis
0x0000d7 multiply
0x0000d8 Ooblique
0x0000d8 Oslash
0x0000d9 Ugrave
0x0000da Uacute
0x0000db Ucircumflex
0x0000dc Udiaeresis
0x0000dd Yacute
0x0000de Thorn
0x0000de THORN
0x0000df ssharp
0x0000e0 agrave
0x0000e1 aacute
0x0000e2 acircumflex
0x0000e3 atilde
0x0000e4 adiaeresis
0x0000e5 aring
0x0000e6 ae
0x0000e7 ccedilla
0x0000e8 egrave
0x0000e9 eacute
0x0000ea ecircumflex
0x0000eb ediaeresis
0x0000ec igrave
0x0000ed iacute
0x0000ee icircumflex
0x0000ef idiaeresis
0x0000f0 eth
0x0000f1 ntilde
0x0000f2 ograve
0x0000f3 oacute
0x0000f4 ocircumflex
0x0000f5 otilde
0x0000f6 odiaeresis
0x0000f7 division
0x0000f8 ooblique
0x0000f8 oslash
0x0000f9 ugrave
0x0000fa uacute
0x0000fb ucircumflex
0x0000fc udiaeresis
0x0000fd yacute
0x0000fe thorn
0x0000ff ydiaeresis
0x0001a1 Aogonek
0x0001a2 breve
0x0001a3 Lstroke
0x0001a5 Lcaron
0x0001a6 Sacute
0x0001a9 Scaron
0x0001aa Scedilla
0x0001ab Tcaron
0x0001ac Zacute
0x0001ae Zcaron
0x0001af Zabovedot
0x0001b1 aogonek
0x0001b2 ogonek
0x0001b3 lstroke
0x0001b5 lcaron
0x0001b6 sacute
0x0001b7 caron
0x0001b9 scaron
0x0001ba scedilla
0x0001bb tcaron
0x0001bc zacute
0x0001bd doubleacute
0x0001be zcaron
0x0001bf zabovedot
0x0001c0 Racute
0x0001c3 Abreve
0x0001c5 Lacute
0x0001c6 Cacute
0x0001c8 Ccaron
0x0001ca Eogonek
0x0001cc Ecaron
0x0001cf Dcaron
0x0001d0 Dstroke
0x0001d1 Nacute
0x0001d2 Ncaron
0x0001d5 Odoubleacute
0x0001d8 Rcaron
0x0001d9 Uring
0x0001db Udoubleacute
0x0001de Tcedilla
0x0001e0 racute
0x0001e3 abreve
0x0001e5 lacute
0x0001e6 cacute
0x0001e8 ccaron
0x0001ea eogonek
0x0001ec ecaron
0x0001ef dcaron
0x0001f0 dstroke
0x0001f1 nacute
0x0001f2 ncaron
0x0001f5 odoubleacute
0x0001f8 rcaron
0x0001f9 uring
0x0001fb udoubleacute
0x0001fe tcedilla
0x0001ff abovedot
0x0002a1 Hstroke
0x0002a6 Hcircumflex
0x0002a9 Iabovedot
0x0002ab Gbreve
0x0002ac Jcircumflex
0x0002b1 hstroke
0x0002b6 hcircumflex
0x0002b9 idotless
0x0002bb gbreve
0x0002bc jcircumflex
0x0002c5 Cabovedot
0x0002c6 Ccircumflex
0x0002d5 Gabovedot
0x0002d8 Gcircumflex
0x0002dd Ubreve
0x0002de Scircumflex
0x0002e5 cabovedot
0x0002e6 ccircumflex
0x0002f5 gabovedot
0x0002f8 gcircumflex
0x0002fd ubreve
0x0002fe scircumflex
0x0003a2 kappa
0x0003a2 kra
0x0003a3 Rcedilla
0x0003a5 Itilde
0x0003a6 Lcedilla
0x0003aa Emacron
0x0003ab Gcedilla
0x0003ac Tslash
0x0003b3 rcedilla
0x0003b5 itilde
0x0003b6 lcedilla
0x0003ba emacron
0x0003bb gcedilla
0x0003bc tslash
0x0003bd ENG
0x0003bf eng
0x0003c0 Amacron
0x0003c7 Iogonek
0x0003cc Eabovedot
0x0003cf Imacron
0x0003d1 Ncedilla
0x0003d2 Omacron
0x0003d3 Kcedilla
0x0003d9 Uogonek
0x0003dd Utilde
0x0003de Umacron
0x0003e0 amacron
0x0003e7 iogonek
0x0003ec eabovedot
0x0003ef imacron
0x0003f1 ncedilla
0x0003f2 omacron
0x0003f3 kcedilla
0x0003f9 uogonek
0x0003fd utilde
0x0003fe umacron
0x00047e overline
0x0004a1 kana_fullstop
0x0004a2 kana_openingbracket
0x0004a3 kana_closingbracket
0x0004a4 kana_comma
0x0004a5 kana_conjunctive
0x0004a5 kana_middledot
0x0004a6 kana_WO
0x0004a7 kana_a
0x0004a8 kana_i
0x0004a9 kana_u
0x0004aa kana_e
0x0004ab kana_o
0x0004ac kana_ya
0x0004ad kana_yu
0x0004ae kana_yo
0x0004af kana_tsu
0x0004af kana_tu
0x0004b0 prolongedsound
0x0004b1 kana_A
0x0004b2 kana_I
0x0004b3 kana_U
0x0004b4 kana_E
0x0004b5 kana_O
0x0004b6 kana_KA
0x0004b7 kana_KI
0x0004b8 kana_KU
0x0004b9 kana_KE
0x0004ba kana_KO
0x0004bb kana_SA
0x0004bc kana_SHI
0x0004bd kana_SU
0x0004be kana_SE
0x0004bf kana_SO
0x0004c0 kana_TA
0x0004c1 kana_CHI
0x0004c1 kana_TI
0x0004c2 kana_TSU
0x0004c2 kana_TU
0x0004c3 kana_TE
0x0004c4 kana_TO
0x0004c5 kana_NA
0x0004c6 kana_NI
0x0004c7 kana_NU
0x0004c8 kana_NE
0x0004c9 kana_NO
0x0004ca kana_HA
0x0004cb kana_HI
0x0004cc kana_FU
0x0004cc kana_HU
0x0004cd kana_HE
0x0004ce kana_HO
0x0004cf kana_MA
0x0004d0 kana_MI
0x0004d1 kana_MU
0x0004d2 kana_ME
0x0004d3 kana_MO
0x0004d4 kana_YA
0x0004d5 kana_YU
0x0004d6 kana_YO
0x0004d7 kana_RA
0x0004d8 kana_RI
0x0004d9 kana_RU
0x0004da kana_RE
0x0004db kana_RO
0x0004dc kana_WA
0x0004dd kana_N
0x0004de voicedsound
0x0004df semivoicedsound
0x0005ac Arabic_comma
0x0005bb Arabic_semicolon
0x0005bf Arabic_question_mark
0x0005c1 Arabic_hamza
0x0005c2 Arabic_maddaonalef
0x0005c3 Arabic_hamzaonalef
0x0005c4 Arabic_hamzaonwaw
0x0005c5 Arabic_hamzaunderalef
0x0005c6 Arabic_hamzaonyeh
0x0005c7 Arabic_alef
0x0005c8 Arabic_beh
0x0005c9 Arabic_tehmarbuta
0x0005ca Arabic_teh
0x0005cb Arabic_theh
0x0005cc Arabic_jeem
0x0005cd Arabic_hah
0x0005ce Arabic_khah
0x0005cf Arabic_dal
0x0005d0 Arabic_thal
0x0005d1 Arabic_ra
0x0005d2 Arabic_zain
0x0005d3 Arabic_seen
0x0005d4 Arabic_sheen
0x0005d5 Arabic_sad
0x0005d6 Arabic_dad
0x0005d7 Arabic_tah
0x0005d8 Arabic_zah
0x0005d9 Arabic_ain
0x0005da Arabic_ghain
0x0005e0 Arabic_tatweel
0x0005e1 Arabic_feh
0x0005e2 Arabic_qaf
0x0005e3 Arabic_kaf
0x0005e4 Arabic_lam
0x0005e5 Arabic_meem
0x0005e6 Arabic_noon
0x0005e7 Arabic_ha
0x0005e7 Arabic_heh
0x0005e8 Arabic_waw
0x0005e9 Arabic_alefmaksura
0x0005ea Arabic_yeh
0x0005eb Arabic_fathatan
0x0005ec Arabic_dammatan
0x0005ed Arabic_kasratan
0x0005ee Arabic_fatha
0x0005ef Arabic_damma
0x0005f0 Arabic_kasra
0x0005f1 Arabic_shadda
0x0005f2 Arabic_sukun
0x0006a1 Serbian_dje
0x0006a2 Macedonia_gje
0x0006a3 Cyrillic_io
0x0006a4 Ukrainian_ie
0x0006a4 Ukranian_je
0x0006a5 Macedonia_dse
0x0006a6 Ukrainian_i
0x0006a6 Ukranian_i
0x0006a7 Ukrainian_yi
0x0006a7 Ukranian_yi
0x0006a8 Cyrillic_je
0x0006a8 Serbian_je
0x0006a9 Cyrillic_lje
0x0006a9 Serbian_lje
0x0006aa Cyrillic_nje
0x0006aa Serbian_nje
0x0006ab Serbian_tshe
0x0006ac Macedonia_kje
0x0006ad Ukrainian_ghe_with_upturn
0x0006ae Byelorussian_shortu
0x0006af Cyrillic_dzhe
0x0006af Serbian_dze
0x0006b0 numerosign
0x0006b1 Serbian_DJE
0x0006b2 Macedonia_GJE
0x0006b3 Cyrillic_IO
0x0006b4 Ukrainian_IE
0x0006b4 Ukranian_JE
0x0006b5 Macedonia_DSE
0x0006b6 Ukrainian_I
0x0006b6 Ukranian_I
0x0006b7 Ukrainian_YI
0x0006b7 Ukranian_YI
0x0006b8 Cyrillic_JE
0x0006b8 Serbian_JE
0x0006b9 Cyrillic_LJE
0x0006b9 Serbian_LJE
0x0006ba Cyrillic_NJE
0x0006ba Serbian_NJE
0x0006bb Serbian_TSHE
0x0006bc Macedonia_KJE
0x0006bd Ukrainian_GHE_WITH_UPTURN
0x0006be Byelorussian_SHORTU
0x0006bf Cyrillic_DZHE
0x0006bf Serbian_DZE
0x0006c0 Cyrillic_yu
0x0006c1 Cyrillic_a
0x0006c2 Cyrillic_be
0x0006c3 Cyrillic_tse
0x0006c4 Cyrillic_de
0x0006c5 Cyrillic_ie
0x0006c6 Cyrillic_ef
0x0006c7 Cyrillic_ghe
0x0006c8 Cyrillic_ha
0x0006c9 Cyrillic_i
0x0006ca Cyrillic_shorti
0x0006cb Cyrillic_ka
0x0006cc Cyrillic_el
0x0006cd Cyrillic_em
0x0006ce Cyrillic_en
0x0006cf Cyrillic_o
0x0006d0 Cyrillic_pe
0x0006d1 Cyrillic_ya
0x0006d2 Cyrillic_er
0x0006d3 Cyrillic_es
0x0006d4 Cyrillic_te
0x0006d5 Cyrillic_u
0x0006d6 Cyrillic_zhe
0x0006d7 Cyrillic_ve
0x0006d8 Cyrillic_softsign
0x0006d9 Cyrillic_yeru
0x0006da Cyrillic_ze
0x0006db Cyrillic_sha
0x0006dc Cyrillic_e
0x0006dd Cyrillic_shcha
0x0006de Cyrillic_che
0x0006df Cyrillic_hardsign
0x0006e0 Cyrillic_YU
0x0006e1 Cyrillic_A
0x0006e2 Cyrillic_BE
0x0006e3 Cyrillic_TSE
0x0006e4 Cyrillic_DE
0x0006e5 Cyrillic_IE
0x0006e6 Cyrillic_EF
0x0006e7 Cyrillic_GHE
0x0006e8 Cyrillic_HA
0x0006e9 Cyrillic_I
0x0006ea Cyrillic_SHORTI
0x0006eb Cyrillic_KA
0x0006ec Cyrillic_EL
0x0006ed Cyrillic_EM
0x0006ee Cyrillic_EN
0x0006ef Cyrillic_O
0x0006f0 Cyrillic_PE
0x0006f1 Cyrillic_YA
0x0006f2 Cyrillic_ER
0x0006f3 Cyrillic_ES
0x0006f4 Cyrillic_TE
0x0006f5 Cyrillic_U
0x0006f6 Cyrillic_ZHE
0x0006f7 Cyrillic_VE
0x0006f8 Cyrillic_SOFTSIGN
0x0006f9 Cyrillic_YERU
0x0006fa Cyrillic_ZE
0x0006fb Cyrillic_SHA
0x0006fc Cyrillic_E
0x0006fd Cyrillic_SHCHA
0x0006fe Cyrillic_CHE
0x0006ff Cyrillic_HARDSIGN
0x0007a1 Greek_ALPHAaccent
0x0007a2 Greek_EPSILONaccent
0x0007a3 Greek_ETAaccent
0x0007a4 Greek_IOTAaccent
0x0007a5 Greek_IOTAdiaeresis
0x0007a5 Greek_IOTAdieresis
0x0007a7 Greek_OMICRONaccent
0x0007a8 Greek_UPSILONaccent
0x0007a9 Greek_UPSILONdieresis
0x0007ab Greek_OMEGAaccent
0x0007ae Greek_accentdieresis
0x0007af Greek_horizbar
0x0007b1 Greek_alphaaccent
0x0007b2 Greek_epsilonaccent
0x0007b3 Greek_etaaccent
0x0007b4 Greek_iotaaccent
0x0007b5 Greek_iotadieresis
0x0007b6 Greek_iotaaccentdieresis
0x0007b7 Greek_omicronaccent
0x0007b8 Greek_upsilonaccent
0x0007b9 Greek_upsilondieresis
0x0007ba Greek_upsilonaccentdieresis
0x0007bb Greek_omegaaccent
0x0007c1 Greek_ALPHA
0x0007c2 Greek_BETA
0x0007c3 Greek_GAMMA
0x0007c4 Greek_DELTA
0x0007c5 Greek_EPSILON
0x0007c6 Greek_ZETA
0x0007c7 Greek_ETA
0x0007c8 Greek_THETA
0x0007c9 Greek_IOTA
0x0007ca Greek_KAPPA
0x0007cb Greek_LAMBDA
0x0007cb Greek_LAMDA
0x0007cc Greek_MU
0x0007cd Greek_NU
0x0007ce Greek_XI
0x0007cf Greek_OMICRON
0x0007d0 Greek_PI
0x0007d1 Greek_RHO
0x0007d2 Greek_SIGMA
0x0007d4 Greek_TAU
0x0007d5 Greek_UPSILON
0x0007d6 Greek_PHI
0x0007d7 Greek_CHI
0x0007d8 Greek_PSI
0x0007d9 Greek_OMEGA
0x0007e1 Greek_alpha
0x0007e2 Greek_beta
0x0007e3 Greek_gamma
0x0007e4 Greek_delta
0x0007e5 Greek_epsilon
0x0007e6 Greek_zeta
0x0007e7 Greek_eta
0x0007e8 Greek_theta
0x0007e9 Greek_iota
0x0007ea Greek_kappa
0x0007eb Greek_lambda
0x0007eb Greek_lamda
0x0007ec Greek_mu
0x0007ed Greek_nu
0x0007ee Greek_xi
0x0007ef Greek_omicron
0x0007f0 Greek_pi
0x0007f1 Greek_rho
0x0007f2 Greek_sigma
0x0007f3 Greek_finalsmallsigma
0x0007f4 Greek_tau
0x0007f5 Greek_upsilon
0x0007f6 Greek_phi
0x0007f7 Greek_chi
0x0007f8 Greek_psi
0x0007f9 Greek_omega
0x0008a1 leftradical
0x0008a2 topleftradical
0x0008a3 horizconnector
0x0008a4 topintegral
0x0008a5 botintegral
0x0008a6 vertconnector
0x0008a7 topleftsqbracket
0x0008a8 botleftsqbracket
0x0008a9 toprightsqbracket
0x0008aa botrightsqbracket
0x0008ab topleftparens
0x0008ac botleftparens
0x0008ad toprightparens
0x0008ae botrightparens
0x0008af leftmiddlecurlybrace
0x0008b0 rightmiddlecurlybrace
0x0008b1 topleftsummation
0x0008b2 botleftsummation
0x0008b3 topvertsummationconnector
0x0008b4 botvertsummationconnector
0x0008b5 toprightsummation
0x0008b6 botrightsummation
0x0008b7 rightmiddlesummation
0x0008bc lessthanequal
0x0008bd notequal
0x0008be greaterthanequal
0x0008bf integral
0x0008c0 therefore
0x0008c1 variation
0x0008c2 infinity
0x0008c5 nabla
0x0008c8 approximate
0x0008c9 similarequal
0x0008cd ifonlyif
0x0008ce implies
0x0008cf identical
0x0008d6 radical
0x0008da includedin
0x0008db includes
0x0008dc intersection
0x0008dd union
0x0008de logicaland
0x0008df logicalor
0x0008ef partialderivative
0x0008f6 function
0x0008fb leftarrow
0x0008fc uparrow
0x0008fd rightarrow
0x0008fe downarrow
0x0009df blank
0x0009e0 soliddiamond
0x0009e1 checkerboard
0x0009e2 ht
0x0009e3 ff
0x0009e4 cr
0x0009e5 lf
0x0009e8 nl
0x0009e9 vt
0x0009ea lowrightcorner
0x0009eb uprightcorner
0x0009ec upleftcorner
0x0009ed lowleftcorner
0x0009ee crossinglines
0x0009ef horizlinescan1
0x0009f0 horizlinescan3
0x0009f1 horizlinescan5
0x0009f2 horizlinescan7
0x0009f3 horizlinescan9
0x0009f4 leftt
0x0009f5 rightt
0x0009f6 bott
0x0009f7 topt
0x0009f8 vertbar
0x000aa1 emspace
0x000aa2 enspace
0x000aa3 em3space
0x000aa4 em4space
0x000aa5 digitspace
0x000aa6 punctspace
0x000aa7 thinspace
0x000aa8 hairspace
0x000aa9 emdash
0x000aaa endash
0x000aac signifblank
0x000aae ellipsis
0x000aaf doubbaselinedot
0x000ab0 onethird
0x000ab1 twothirds
0x000ab2 onefifth
0x000ab3 twofifths
0x000ab4 threefifths
0x000ab5 fourfifths
0x000ab6 onesixth
0x000ab7 fivesixths
0x000ab8 careof
0x000abb figdash
0x000abc leftanglebracket
0x000abd decimalpoint
0x000abe rightanglebracket
0x000abf marker
0x000ac3 oneeighth
0x000ac4 threeeighths
0x000ac5 fiveeighths
0x000ac6 seveneighths
0x000ac9 trademark
0x000aca signaturemark
0x000acb trademarkincircle
0x000acc leftopentriangle
0x000acd rightopentriangle
0x000ace emopencircle
0x000acf emopenrectangle
0x000ad0 leftsinglequotemark
0x000ad1 rightsinglequotemark
0x000ad2 leftdoublequotemark
0x000ad3 rightdoublequotemark
0x000ad4 prescription
0x000ad5 permille
0x000ad6 minutes
0x000ad7 seconds
0x000ad9 latincross
0x000ada hexagram
0x000adb filledrectbullet
0x000adc filledlefttribullet
0x000add filledrighttribullet
0x000ade emfilledcircle
0x000adf emfilledrect
0x000ae0 enopencircbullet
0x000ae1 enopensquarebullet
0x000ae2 openrectbullet
0x000ae3 opentribulletup
0x000ae4 opentribulletdown
0x000ae5 openstar
0x000ae6 enfilledcircbullet
0x000ae7 enfilledsqbullet
0x000ae8 filledtribulletup
0x000ae9 filledtribulletdown
0x000aea leftpointer
0x000aeb rightpointer
0x000aec club
0x000aed diamond
0x000aee heart
0x000af0 maltesecross
0x000af1 dagger
0x000af2 doubledagger
0x000af3 checkmark
0x000af4 ballotcross
0x000af5 musicalsharp
0x000af6 musicalflat
0x000af7 malesymbol
0x000af8 femalesymbol
0x000af9 telephone
0x000afa telephonerecorder
0x000afb phonographcopyright
0x000afc caret
0x000afd singlelowquotemark
0x000afe doublelowquotemark
0x000aff cursor
0x000ba3 leftcaret
0x000ba6 rightcaret
0x000ba8 downcaret
0x000ba9 upcaret
0x000bc0 overbar
0x000bc2 downtack
0x000bc3 upshoe
0x000bc4 downstile
0x000bc6 underbar
0x000bca jot
0x000bcc quad
0x000bce uptack
0x000bcf circle
0x000bd3 upstile
0x000bd6 downshoe
0x000bd8 rightshoe
0x000bda leftshoe
0x000bdc lefttack
0x000bfc righttack
0x000cdf hebrew_doublelowline
0x000ce0 hebrew_aleph
0x000ce1 hebrew_bet
0x000ce1 hebrew_beth
0x000ce2 hebrew_gimel
0x000ce2 hebrew_gimmel
0x000ce3 hebrew_dalet
0x000ce3 hebrew_daleth
0x000ce4 hebrew_he
0x000ce5 hebrew_waw
0x000ce6 hebrew_zain
0x000ce6 hebrew_zayin
0x000ce7 hebrew_chet
0x000ce7 hebrew_het
0x000ce8 hebrew_tet
0x000ce8 hebrew_teth
0x000ce9 hebrew_yod
0x000cea hebrew_finalkaph
0x000ceb hebrew_kaph
0x000cec hebrew_lamed
0x000ced hebrew_finalmem
0x000cee hebrew_mem
0x000cef hebrew_finalnun
0x000cf0 hebrew_nun
0x000cf1 hebrew_samech
0x000cf1 hebrew_samekh
0x000cf2 hebrew_ayin
0x000cf3 hebrew_finalpe
0x000cf4 hebrew_pe
0x000cf5 hebrew_finalzade
0x000cf5 hebrew_finalzadi
0x000cf6 hebrew_zade
0x000cf6 hebrew_zadi
0x000cf7 hebrew_kuf
0x000cf7 hebrew_qoph
0x000cf8 hebrew_resh
0x000cf9 hebrew_shin
0x000cfa hebrew_taf
0x000cfa hebrew_taw
0x000da1 Thai_kokai
0x000da2 Thai_khokhai
0x000da3 Thai_khokhuat
0x000da4 Thai_khokhwai
0x000da5 Thai_khokhon
0x000da6 Thai_khorakhang
0x000da7 Thai_ngongu
0x000da8 Thai_chochan
0x000da9 Thai_choching
0x000daa Thai_chochang
0x000dab Thai_soso
0x000dac Thai_chochoe
0x000dad Thai_yoying
0x000dae Thai_dochada
0x000daf Thai_topatak
0x000db0 Thai_thothan
0x000db1 Thai_thonangmontho
0x000db2 Thai_thophuthao
0x000db3 Thai_nonen
0x000db4 Thai_dodek
0x000db5 Thai_totao
0x000db6 Thai_thothung
0x000db7 Thai_thothahan
0x000db8 Thai_thothong
0x000db9 Thai_nonu
0x000dba Thai_bobaimai
0x000dbb Thai_popla
0x000dbc Thai_phophung
0x000dbd Thai_fofa
0x000dbe Thai_phophan
0x000dbf Thai_fofan
0x000dc0 Thai_phosamphao
0x000dc1 Thai_moma
0x000dc2 Thai_yoyak
0x000dc3 Thai_rorua
0x000dc4 Thai_ru
0x000dc5 Thai_loling
0x000dc6 Thai_lu
0x000dc7 Thai_wowaen
0x000dc8 Thai_sosala
0x000dc9 Thai_sorusi
0x000dca Thai_sosua
0x000dcb Thai_hohip
0x000dcc Thai_lochula
0x000dcd Thai_oang
0x000dce Thai_honokhuk
0x000dcf Thai_paiyannoi
0x000dd0 Thai_saraa
0x000dd1 Thai_maihanakat
0x000dd2 Thai_saraaa
0x000dd3 Thai_saraam
0x000dd4 Thai_sarai
0x000dd5 Thai_saraii
0x000dd6 Thai_saraue
0x000dd7 Thai_sarauee
0x000dd8 Thai_sarau
0x000dd9 Thai_sarauu
0x000dda Thai_phinthu
0x000dde Thai_maihanakat_maitho
0x000ddf Thai_baht
0x000de0 Thai_sarae
0x000de1 Thai_saraae
0x000de2 Thai_sarao
0x000de3 Thai_saraaimaimuan
0x000de4 Thai_saraaimaimalai
0x000de5 Thai_lakkhangyao
0x000de6 Thai_maiyamok
0x000de7 Thai_maitaikhu
0x000de8 Thai_maiek
0x000de9 Thai_maitho
0x000dea Thai_maitri
0x000deb Thai_maichattawa
0x000dec Thai_thanthakhat
0x000ded Thai_nikhahit
0x000df0 Thai_leksun
0x000df1 Thai_leknung
0x000df2 Thai_leksong
0x000df3 Thai_leksam
0x000df4 Thai_leksi
0x000df5 Thai_lekha
0x000df6 Thai_lekhok
0x000df7 Thai_lekchet
0x000df8 Thai_lekpaet
0x000df9 Thai_lekkao
0x000ea1 Hangul_Kiyeog
0x000ea2 Hangul_SsangKiyeog
0x000ea3 Hangul_KiyeogSios
0x000ea4 Hangul_Nieun
0x000ea5 Hangul_NieunJieuj
0x000ea6 Hangul_NieunHieuh
0x000ea7 Hangul_Dikeud
0x000ea8 Hangul_SsangDikeud
0x000ea9 Hangul_Rieul
0x000eaa Hangul_RieulKiyeog
0x000eab Hangul_RieulMieum
0x000eac Hangul_RieulPieub
0x000ead Hangul_RieulSios
0x000eae Hangul_RieulTieut
0x000eaf Hangul_RieulPhieuf
0x000eb0 Hangul_RieulHieuh
0x000eb1 Hangul_Mieum
0x000eb2 Hangul_Pieub
0x000eb3 Hangul_SsangPieub
0x000eb4 Hangul_PieubSios
0x000eb5 Hangul_Sios
0x000eb6 Hangul_SsangSios
0x000eb7 Hangul_Ieung
0x000eb8 Hangul_Jieuj
0x000eb9 Hangul_SsangJieuj
0x000eba Hangul_Cieuc
0x000ebb Hangul_Khieuq
0x000ebc Hangul_Tieut
0x000ebd Hangul_Phieuf
0x000ebe Hangul_Hieuh
0x000ebf Hangul_A
0x000ec0 Hangul_AE
0x000ec1 Hangul_YA
0x000ec2 Hangul_YAE
0x000ec3 Hangul_EO
0x000ec4 Hangul_E
0x000ec5 Hangul_YEO
0x000ec6 Hangul_YE
0x000ec7 Hangul_O
0x000ec8 Hangul_WA
0x000ec9 Hangul_WAE
0x000eca Hangul_OE
0x000ecb Hangul_YO
0x000ecc Hangul_U
0x000ecd Hangul_WEO
0x000ece Hangul_WE
0x000ecf Hangul_WI
0x000ed0 Hangul_YU
0x000ed1 Hangul_EU
0x000ed2 Hangul_YI
0x000ed3 Hangul_I
0x000ed4 Hangul_J_Kiyeog
0x000ed5 Hangul_J_SsangKiyeog
0x000ed6 Hangul_J_KiyeogSios
0x000ed7 Hangul_J_Nieun
0x000ed8 Hangul_J_NieunJieuj
0x000ed9 Hangul_J_NieunHieuh
0x000eda Hangul_J_Dikeud
0x000edb Hangul_J_Rieul
0x000edc Hangul_J_RieulKiyeog
0x000edd Hangul_J_RieulMieum
0x000ede Hangul_J_RieulPieub
0x000edf Hangul_J_RieulSios
0x000ee0 Hangul_J_RieulTieut
0x000ee1 Hangul_J_RieulPhieuf
0x000ee2 Hangul_J_RieulHieuh
0x000ee3 Hangul_J_Mieum
0x000ee4 Hangul_J_Pieub
0x000ee5 Hangul_J_PieubSios
0x000ee6 Hangul_J_Sios
0x000ee7 Hangul_J_SsangSios
0x000ee8 Hangul_J_Ieung
0x000ee9 Hangul_J_Jieuj
0x000eea Hangul_J_Cieuc
0x000eeb Hangul_J_Khieuq
0x000eec Hangul_J_Tieut
0x000eed Hangul_J_Phieuf
0x000eee Hangul_J_Hieuh
0x000eef Hangul_RieulYeorinHieuh
0x000ef0 Hangul_SunkyeongeumMieum
0x000ef1 Hangul_SunkyeongeumPieub
0x000ef2 Hangul_PanSios
0x000ef3 Hangul_KkogjiDalrinIeung
0x000ef4 Hangul_SunkyeongeumPhieuf
0x000ef5 Hangul_YeorinHieuh
0x000ef6 Hangul_AraeA
0x000ef7 Hangul_AraeAE
0x000ef8 Hangul_J_PanSios
0x000ef9 Hangul_J_KkogjiDalrinIeung
0x000efa Hangul_J_YeorinHieuh
0x000eff Korean_Won
0x0013bc OE
0x0013bd oe
0x0013be Ydiaeresis
0x0020ac EuroSign
0x00fd01 3270_Duplicate
0x00fd02 3270_FieldMark
0x00fd03 3270_Right2
0x00fd04 3270_Left2
0x00fd05 3270_BackTab
0x00fd06 3270_EraseEOF
0x00fd07 3270_EraseInput
0x00fd08 3270_Reset
0x00fd09 3270_Quit
0x00fd0a 3270_PA1
0x00fd0b 3270_PA2
0x00fd0c 3270_PA3
0x00fd0d 3270_Test
0x00fd0e 3270_Attn
0x00fd0f 3270_CursorBlink
0x00fd10 3270_AltCursor
0x00fd11 3270_KeyClick
0x00fd12 3270_Jump
0x00fd13 3270_Ident
0x00fd14 3270_Rule
0x00fd15 3270_Copy
0x00fd16 3270_Play
0x00fd17 3270_Setup
0x00fd18 3270_Record
